Area_name,STCOU,PST015171F,PST015171D,PST015171N1,PST015171N2,PST015172F,PST015172D,PST015172N1,PST015172N2,PST015173F,PST015173D,PST015173N1,PST015173N2,PST015174F,PST015174D,PST015174N1,PST015174N2,PST015175F,PST015175D,PST015175N1,PST015175N2,PST015176F,PST015176D,PST015176N1,PST015176N2,PST015177F,PST015177D,PST015177N1,PST015177N2,PST015178F,PST015178D,PST015178N1,PST015178N2,PST015179F,PST015179D,PST015179N1,PST015179N2,PST025181F,PST025181D,PST025181N1,PST025181N2
"Macon, AL",1087,0,25273,0,0,0,25591,0,0,0,25545,0,0,0,25704,0,0,0,26230,0,0,0,26731,0,0,0,27053,0,0,0,27020,0,0,0,26585,0,0,0,26569,0,0
"Madison, AL",1089,0,188553,0,0,0,189087,0,0,0,189786,0,0,0,188336,0,0,0,188151,0,0,0,190235,0,0,0,192450,0,0,0,193157,0,0,0,194948,0,0,0,199934,0,0
"Marengo, AL",1091,0,23396,0,0,0,24275,0,0,0,24207,0,0,0,24273,0,0,0,24636,0,0,0,25201,0,0,0,25395,0,0,0,25429,0,0,0,25280,0,0,0,24692,0,0
"Marion, AL",1093,0,25441,0,0,0,26313,0,0,0,27167,0,0,0,28129,0,0,0,28527,0,0,0,28624,0,0,0,29102,0,0,0,29489,0,0,0,29834,0,0,0,30337,0,0
"Marshall, AL",1095,0,55909,0,0,0,56985,0,0,0,57993,0,0,0,59225,0,0,0,61051,0,0,0,62114,0,0,0,63527,0,0,0,65003,0,0,0,65015,0,0,0,66399,0,0
"Mobile, AL",1097,0,323275,0,0,0,324322,0,0,0,324538,0,0,0,329411,0,0,0,335232,0,0,0,344889,0,0,0,353131,0,0,0,360076,0,0,0,361744,0,0,0,370438,0,0
"Monroe, AL",1099,0,21113,0,0,0,20587,0,0,0,20732,0,0,0,20690,0,0,0,20929,0,0,0,21168,0,0,0,21391,0,0,0,22012,0,0,0,22502,0,0,0,22659,0,0
"Montgomery, AL",1101,0,169878,0,0,0,176060,0,0,0,179280,0,0,0,182907,0,0,0,183177,0,0,0,187014,0,0,0,188053,0,0,0,190600,0,0,0,193393,0,0,0,199565,0,0
"Morgan, AL",1103,0,80252,0,0,0,81254,0,0,0,82443,0,0,0,84206,0,0,0,85496,0,0,0,86461,0,0,0,87500,0,0,0,89191,0,0,0,90546,0,0,0,90112,0,0
"Perry, AL",1105,0,15355,0,0,0,15222,0,0,0,14857,0,0,0,15184,0,0,0,14526,0,0,0,14405,0,0,0,14540,0,0,0,14968,0,0,0,14825,0,0,0,14873,0,0
"Pickens, AL",1107,0,20352,0,0,0,20850,0,0,0,21346,0,0,0,21463,0,0,0,21489,0,0,0,21505,0,0,0,21631,0,0,0,21946,0,0,0,21835,0,0,0,21787,0,0
"Pike, AL",1109,0,25140,0,0,0,24582,0,0,0,25092,0,0,0,25476,0,0,0,26342,0,0,0,26430,0,0,0,26275,0,0,0,26731,0,0,0,27412,0,0,0,28503,0,0
"Randolph, AL",1111,0,18599,0,0,0,18340,0,0,0,18976,0,0,0,19191,0,0,0,19295,0,0,0,19582,0,0,0,19641,0,0,0,19920,0,0,0,19862,0,0,0,20196,0,0
"Russell, AL",1113,0,45623,0,0,0,45548,0,0,0,46344,0,0,0,45771,0,0,0,47376,0,0,0,47889,0,0,0,48179,0,0,0,47734,0,0,0,47781,0,0,0,46850,0,0
"St. Clair, AL",1115,0,29546,0,0,0,31269,0,0,0,32182,0,0,0,33744,0,0,0,34787,0,0,0,36090,0,0,0,38035,0,0,0,39302,0,0,0,40483,0,0,0,41726,0,0
"Shelby, AL",1117,0,40109,0,0,0,42732,0,0,0,46160,0,0,0,49838,0,0,0,51699,0,0,0,54627,0,0,0,60198,0,0,0,63495,0,0,0,64458,0,0,0,69274,0,0
"Sumter, AL",1119,0,15819,0,0,0,16488,0,0,0,16688,0,0,0,16540,0,0,0,16872,0,0,0,17155,0,0,0,17181,0,0,0,17266,0,0,0,16877,0,0,0,17056,0,0
